docId,id_user,id_hoteles,fecha,rating,text_review
0fZk7MW338vIcovQOFFZ,53nLxYuwIlckMIUmlcnnBqCPMhh1,r4nAmbrBUKfR31uX29PI,2023-05-24,3,Buena relación calidad-precio.
0iu72CouQSSEWyfYcVP6,53nLxYuwIlckMIUmlcnnBqCPMhh1,8U8rQri5xaa2Hi5qsKus,2023-05-24,4,"La comida era deliciosa, definitivamente volveré"
1keJbCkLtLHwZAHi882J,53nLxYuwIlckMIUmlcnnBqCPMhh1,4mOXkPeYllfWTJjcrGF1,2023-05-18,2,"No volvería, mala relación calidad-precio"
2JXwsktSlxMJlkRoZDM5,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,qQlIoOx99VhMVvxyv5Zg,2023-06-14,2,"Atención al cliente deficiente, desinteresados."
5yqhY6mP4o7fnDkO0GZb,53nLxYuwIlckMIUmlcnnBqCPMhh1,ki7gbpNEv7BvcslIkwVL,2023-04-05,4,"Recomendado, personal amable"
75KenvDUiiK93GTbuEk1,53nLxYuwIlckMIUmlcnnBqCPMhh1,r4nAmbrBUKfR31uX29PI,2023-06-01,5,"Personal atento, desayuno delicioso"
7ajSPx30zaQ8GdHSle7M,53nLxYuwIlckMIUmlcnnBqCPMhh1,zAds1e1A7Zxy8JNliJus,2023-04-03,2,"No me gustó, habitaciones sucias."
98S2ehR1bWW3HsWOXyZ9,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,geRSPnO2NDW9pF8qS4NI,2023-05-30,1,"No cumplió mis expectativas, falta de comodidades."
9ETq0NHm2WdH6YhweO6K,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,BhVwTdpESNdLOWgJLwah,2023-04-11,4,"Hotel moderno, decoración impresionante."
9vhpZaFTjjEmR5gIwgse,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,1Hzi8ztMo9twWHbeIVtu,2023-02-27,2,"Personal poco amigable, falta de hospitalidad."
C8i1sH9wDStori1WfDFm,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,ITiI8JGwVn2T3jMYAiKK,2023-05-18,4,"Limpieza impecable, personal amigable."
E2aiheZq2pQQUjn2sLwQ,RLfIC0TJWDfXkSTy5bIa45Uh2SP2,7Fv94aF6DGyk1JsN93B9,2023-04-22,4,Comida deliciosa en el restaurante.
EyyTfdT8JvUKKw9PpCQQ,53nLxYuwIlckMIUmlcnnBqCPMhh1,RFf3Awkz9HVeCzReXTYG,2023-05-02,1,"No tuve una buena experiencia, el servicio fue lento y el ambiente poco acogedor."
